"name","latitude","longitude","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","precip","preciptype","snow","snowdepth","cloudcover","conditions","description","city","country","id","location","temp_diff_max","temp_diff_min","temp_diff"
"Chișinău, Moldova",47.025,28.832,"1979-12-25",-1.9,-4,-3.4,-7.2,-9.7,-8.6,0.009,"snow",,0,90.9,"Snow, Overcast","Cloudy skies throughout the day with afternoon snow.","Chisinau","Moldova",37,"Chisinau, Moldova",1.5,0.6,0.9
"Bern, BE, Schweiz",46.948,7.44,"1979-12-25",4.1,-1,1.4,4.1,-2.2,0.5,0,"",,12,83.3,"Partially cloudy","Partly cloudy throughout the day.","Bern","Switzerland",46,"Bern, Switzerland",2.7,2.4,0.3
"Ljubljana, Slovenija",46.051,14.503,"1979-12-25",2.5,-0.8,0.7,2.5,-0.8,0.7,0,"",,12,97.7,"Overcast","Cloudy skies throughout the day.","Ljubljana","Slovenia",43,"Ljubljana, Slovenia",1.8,1.5,0.3
"Zagreb, Hrvatska",45.807,15.968,"1979-12-25",5.1,4.1,4.9,5.1,1.8,3.8,,"",,0,100,"Overcast","Cloudy skies throughout the day.","Zagreb","Croatia",35,"Zagreb, Croatia",0.199999999999999,0.800000000000001,0.600000000000001
"Montréal, QC, Canada",45.512,-73.555,"1979-12-25",2.1,0.8,1.3,-3,-6.1,-4.4,23,"rain,snow",,5.5,100,"Snow, Rain, Overcast","Cloudy skies throughout the day with afternoon rain or snow.","Montréal","Canada",51,"Montréal, Canada",0.8,0.5,0.3
"Portland, OR, United States",45.512,-122.676,"1979-12-25",11.2,5,6.3,11.2,1.1,3.1,0,"",,0,87.7,"Partially cloudy","Partly cloudy throughout the day.","Portland (OR)","USA",69,"Portland (OR), USA",4.9,1.3,3.6
"Ottawa, ON, Canada",45.422,-75.691,"1979-12-25",3.1,0.1,2.1,-0.3,-5.4,-2.8,26,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","Ottawa","Canada",54,"Ottawa, Canada",1,2,1
"Београд, Централна Србија, Србија",44.813,20.463,"1979-12-25",6.1,-0.9,2.3,3.1,-5.5,-1.6,0,"",,0,8.7,"Clear","Clear conditions throughout the day.","Belgrade","Serbia",21,"Belgrade, Serbia",3.8,3.2,0.6
"București, România",44.434,26.103,"1979-12-25",1.1,-1.9,-0.8,1,-6.7,-3.5,0,"",,0,88.2,"Partially cloudy","Partly cloudy throughout the day.","Bucharest","Romania",14,"Bucharest, Romania",1.9,1.1,0.8
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",43.859,18.436,"1979-12-25",5.2,3.3,4.2,5.2,1.4,3.6,,"",,26.6,95.4,"Overcast","Cloudy skies throughout the day.","Sarajevo","Bosnia and Herzegovina",42,"Sarajevo, Bosnia and Herzegovina",1,0.9,0.0999999999999996
"Toronto, ON, Canada",43.649,-79.385,"1979-12-25",44,1.6,13.1,44,-5.2,8.1,3.39,"rain",,,100,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Toronto","Canada",50,"Toronto, Canada",30.9,11.5,19.4
"Bishkek, Kyrgyzstan",42.884,74.603,"1979-12-25",6.1,-4.9,-0.8,4.6,-11.9,-4.5,0,"",,,7.5,"Clear","Clear conditions throughout the day.","Bishkek","Kyrgyzstan",27,"Bishkek, Kyrgyzstan",6.9,4.1,2.8
"София, България",42.697,23.324,"1979-12-25",4.1,-2.8,0.3,4.1,-6.5,-1,0.988,"rain,snow",,0,64.2,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with early morning snow or rain.","Sofia","Bulgaria",18,"Sofia, Bulgaria",3.8,3.1,0.7
"Prishtinë, Kosovë",42.672,21.162,"1979-12-25",5.1,0.8,2.7,5.1,-1.9,2,0,"",,0,74.4,"Partially cloudy","Partly cloudy throughout the day.","Pristina","Kosovo",44,"Pristina, Kosovo",2.4,1.9,0.499999999999999
"Podgorica, Crna Gora",42.435,19.264,"1979-12-25",14.7,6,8.9,14.7,6,8.9,0,"",,0,43.7,"Partially cloudy","Partly cloudy throughout the day.","Podgorica","Montenegro",45,"Podgorica, Montenegro",5.8,2.9,2.9
"Boston, MA, United States",42.359,-71.057,"1979-12-25",12.8,5.7,7.7,12.8,2.3,5.5,7.883,"rain",,0,84.2,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","Boston (MA)","USA",68,"Boston (MA), USA",5.1,2,3.1
"Detroit, MI, United States",42.332,-83.048,"1979-12-25",8.3,0.3,3.3,8.3,-6.1,-2.2,14.518,"rain",,0,99.6,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Detroit (MI)","USA",71,"Detroit (MI), USA",5,3,2
"Скопје, Северна Македонија",41.995,21.43,"1979-12-25",7.1,2.1,4.8,6.7,-1.8,2.6,0,"",,0,75.3,"Partially cloudy","Partly cloudy throughout the day.","Skopje","Macedonia",38,"Skopje, Macedonia",2.3,2.7,0.4
"Chicago, IL, United States",41.884,-87.632,"1979-12-25",3.1,0.3,1.9,-0.7,-5.6,-3.5,1.938,"rain,snow",,0,94.6,"Snow, Rain, Overcast","Cloudy skies throughout the day with early morning snow or rain.","Chicago (IL)","USA",58,"Chicago (IL), USA",1.2,1.6,0.4
"თბილისი, Georgia",41.709,44.796,"1979-12-25",0,-2.1,-1.3,0,-7.4,-2.6,6,"rain,snow",,9.2,100,"Snow, Rain, Overcast","Cloudy skies throughout the day with rain or snow.","Tbilisi","Georgia",26,"Tbilisi, Georgia",1.3,0.8,0.5
"Toshkent, O'zbekiston",41.326,69.241,"1979-12-25",7,-3.9,0.2,5.7,-5.9,-0.6,0,"",,1,43.9,"Partially cloudy","Partly cloudy throughout the day.","Tashkent","Uzbekistan",11,"Tashkent, Uzbekistan",6.8,4.1,2.7
"Tiranë, Shqipëria",41.322,19.825,"1979-12-25",13.3,3,8.3,13.3,3,8.3,0,"",,0,38.1,"Partially cloudy","Partly cloudy throughout the day.","Tirana","Albania",41,"Tirana, Albania",5,5.3,0.300000000000001
"New York, NY, United States",40.715,-74.007,"1979-12-25",13.5,7,11.3,13.5,7,11.3,12.216,"rain",,0,80.5,"Rain, Partially cloudy","Partly cloudy throughout the day with rain clearing later.","New York (NY)","USA",57,"New York (NY), USA",2.2,4.3,2.1
"Երևան, Հայաստան",40.179,44.513,"1979-12-25",3,-4.9,0.5,3,-8.2,-0.8,,"",,3.4,84,"Partially cloudy","Partly cloudy throughout the day.","Yerevan","Armenia",28,"Yerevan, Armenia",2.5,5.4,2.9
"Columbus, OH, United States",39.962,-83.003,"1979-12-25",8,1.4,3.7,5.7,-3.7,-0.8,2.5,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Columbus (OH)","USA",60,"Columbus (OH), USA",4.3,2.3,2
"Philadelphia, PA, United States",39.952,-75.162,"1979-12-25",15.2,6.1,11.4,15.2,3.4,10.8,3.829,"rain",,0,75.1,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","Philadelphia (PA)","USA",59,"Philadelphia (PA), USA",3.8,5.3,1.5
"Ankara, Türkiye",39.921,32.854,"1979-12-25",4.8,-5.4,-0.3,4.1,-5.4,-1.9,0,"",,,57.9,"Partially cloudy","Partly cloudy throughout the day.","Ankara","Turkey",6,"Ankara, Turkey",5.1,5.1,8.88178419700125e-16
"中国北京",39.907,116.388,"1979-12-25",-2.9,-12.9,-7.5,-2.9,-16.4,-8.5,0,"",,,14.4,"Clear","Clear conditions throughout the day.","Beijing","China",2,"Beijing, China",4.6,5.4,0.800000000000001
"Indianapolis, IN, United States",39.767,-86.15,"1979-12-25",3.9,2.2,3.1,-0.8,-4.7,-2.2,1.2,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain.","Indianapolis (IN)","USA",62,"Indianapolis (IN), USA",0.8,0.9,0.1
"Denver, CO, United States",39.74,-104.992,"1979-12-25",10.1,-3.8,2.5,10.1,-6.1,0.9,0,"",,7,65,"Partially cloudy","Partly cloudy throughout the day.","Denver (CO)","USA",64,"Denver (CO), USA",7.6,6.3,1.3
"Pyongyang, North Korea",39.012,125.787,"1979-12-25",-5.9,-13.3,-10,-7.9,-17.9,-13.5,0,"",,,17.5,"Clear","Clear conditions throughout the day.","Pyongyang","North Korea",10,"Pyongyang, North Korea",4.1,3.3,0.799999999999999
"Washington, DC, United States",38.89,-77.032,"1979-12-25",16.1,7.8,12.1,16.1,5.1,11.5,10.553,"rain",,0,78.3,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","Washington (DC)","USA",67,"Washington (DC), USA",4,4.3,0.299999999999998
"Dushanbe, Tajikistan",38.568,68.772,"1979-12-25",4.1,-4.9,-1.8,4.1,-11.7,-4,0,"",,9.8,63.3,"Partially cloudy","Partly cloudy throughout the day.","Dushanbe","Tajikistan",33,"Dushanbe, Tajikistan",5.9,3.1,2.8
"Louisville, KY, United States",38.255,-85.767,"1979-12-25",4.4,2.9,3.7,0,-1.6,-0.9,2.976,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain clearing later.","Louisville (KY)","USA",72,"Louisville (KY), USA",0.7,0.8,0.1
"Ashgabat, Turkmenistan",37.951,58.39,"1979-12-25",12.1,-1.9,4.1,12.1,-4.7,3.6,,"",,0,21.4,"Partially cloudy","Partly cloudy throughout the day.","Ashgabat","Turkmenistan",34,"Ashgabat, Turkmenistan",8,6,2
"South Korea South Korea Seoul",37.559,127,"1979-12-25",-3,-9.9,-7.1,-4,-16,-9.9,0,"",,,16.4,"Clear","Clear conditions throughout the day.","Seoul","South Korea",1,"Seoul, South Korea",4.1,2.8,1.3
"Nashville, TN, United States",36.168,-86.778,"1979-12-25",4.4,3.4,4,-0.2,-1.4,-0.8,2.4,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain clearing later.","Nashville (TN)","USA",66,"Nashville (TN), USA",0.4,0.6,0.2
"Oklahoma City, OK, United States",35.472,-97.521,"1979-12-25",16.6,0.5,8,16.6,-2.5,7,0,"",,,35,"Partially cloudy","Partly cloudy throughout the day.","Oklahoma City (OK)","USA",65,"Oklahoma City (OK), USA",8.6,7.5,1.1
"Charlotte, NC, United States",35.223,-80.838,"1979-12-25",10.1,4.4,7.5,10.1,1,4,2.6,"rain",,0,62.9,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Charlotte (NC)","USA",61,"Charlotte (NC), USA",2.6,3.1,0.5
"Memphis, TN, United States",35.15,-90.049,"1979-12-25",8.7,1.6,5.3,6.6,-0.7,2.4,0,"",,,65.6,"Partially cloudy","Partly cloudy throughout the day.","Memphis (TN)","USA",70,"Memphis (TN), USA",3.4,3.7,0.3
"Kathmandu, Bagmati, Nepal",27.693,85.322,"1979-12-25",13.1,3.1,9.5,13.1,3.1,9.5,0,"",,,48,"Partially cloudy","Partly cloudy throughout the day.","Kathmandu","Nepal",31,"Kathmandu, Nepal",3.6,6.4,2.8
"Thimphu, Bhutan",27.468,89.662,"1979-12-25",5.1,-12.9,-5,0.2,-17.5,-8.4,0,"",,,28.8,"Partially cloudy","Partly cloudy throughout the day.","Thimphu","Bhutan",49,"Thimphu, Bhutan",10.1,7.9,2.2
"Reykjavíkurborg, Ísland",64.146,-21.94,"1980-12-25",-4.9,-8.9,-5.7,-5.9,-13.6,-10.8,0,"",,,50.5,"Partially cloudy","Partly cloudy throughout the day.","Reykjavík","Iceland",47,"Reykjavík, Iceland",0.8,3.2,2.4
"Anchorage, AK, United States",61.218,-149.858,"1980-12-25",-14.9,-21.2,-19,-18.8,-26.7,-22.2,0,"",,8.7,7.5,"Clear","Clear conditions throughout the day.","Anchorage (AK)","USA",73,"Anchorage (AK), USA",4.1,2.2,1.9
"Helsinki, Etelä-Suomi, Suomi",60.171,24.933,"1980-12-25",2.1,1,1.6,-1.9,-4.6,-3.3,,"",,,81.1,"Partially cloudy","Partly cloudy throughout the day.","Helsinki","Finland",24,"Helsinki, Finland",0.5,0.6,0.1
"Oslo, Norge",59.912,10.75,"1980-12-25",-2.8,-8.4,-5,-2.8,-11.3,-5.9,0,"",,,56.6,"Partially cloudy","Partly cloudy throughout the day.","Oslo","Norway",30,"Oslo, Norway",2.2,3.4,1.2
"Tallinn, Eesti",59.436,24.753,"1980-12-25",2.1,0.1,1.2,-2.3,-3.6,-2.8,2.5,"rain,snow",,0,89.9,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with rain or snow.","Tallinn","Estonia",40,"Tallinn, Estonia",0.9,1.1,0.2
"Stockholm, Stockholms län, Sverige",59.333,18.067,"1980-12-25",3,-0.9,1.3,1,-4.6,-2,0,"",,,51.9,"Partially cloudy","Partly cloudy throughout the day.","Stockholm","Sweden",17,"Stockholm, Sweden",1.7,2.2,0.5
"Rīga, Latvija",56.946,24.115,"1980-12-25",6.1,1.1,3.6,3.1,-2.8,-0.1,,"",,0,91.3,"Overcast","Cloudy skies throughout the day.","Riga","Latvia",32,"Riga, Latvia",2.5,2.5,4.44089209850063e-16
"Москва, Центральный федеральный округ, Россия",55.757,37.615,"1980-12-25",2.1,-0.9,0,-2.9,-7.2,-5.2,,"",,10,98.1,"Overcast","Cloudy skies throughout the day.","Moscow","Russia",3,"Moscow, Russia",2.1,0.9,1.2
"København, Hovedstaden, Danmark",55.676,12.568,"1980-12-25",7.1,3.1,5.5,4.3,-2,1.9,2,"rain",,,77.2,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Copenhagen","Denmark",22,"Copenhagen, Denmark",1.6,2.4,0.8
"Vilnius, Vilniaus Apskritis, Lietuva",54.691,25.27,"1980-12-25",6,1.1,4.2,2.2,-3.6,-0.2,3,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","Vilnius","Lithuania",36,"Vilnius, Lithuania",1.8,3.1,1.3
"Мінск, Беларусь",53.904,27.566,"1980-12-25",6.1,1,3.6,3.1,-3,0.4,,"",,1,97.6,"Overcast","Cloudy skies throughout the day.","Minsk","Belarus",12,"Minsk, Belarus",2.5,2.6,0.100000000000001
"Edmonton, AB, Canada",53.546,-113.49,"1980-12-25",-14,-21.9,-17,-16,-29.8,-22,0.04,"snow",,17,96.6,"Snow, Overcast","Cloudy skies throughout the day with late afternoon snow.","Edmonton","Canada",53,"Edmonton, Canada",3,4.9,1.9
"Dublin, Ireland",53.348,-6.248,"1980-12-25",6,2,3.5,1.3,-4.5,-2.1,1.006,"rain",,0,40.7,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","Dublin","Ireland",25,"Dublin, Ireland",2.5,1.5,1
"Berlin, Deutschland",52.516,13.377,"1980-12-25",11.1,6.1,9.2,11.1,2.2,7.5,,"",,,89.2,"Partially cloudy","Partly cloudy throughout the day.","Berlin","Germany",7,"Berlin, Germany",1.9,3.1,1.2
"Amsterdam, Noord-Holland, Nederland",52.37,4.908,"1980-12-25",10,5,8.3,10,0.3,4.3,2.85,"rain",,,73.3,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Amsterdam","Netherlands",19,"Amsterdam, Netherlands",1.7,3.3,1.6
"Warszawa, Woj. Mazowieckie, Polska",52.236,21.01,"1980-12-25",9.1,8.1,8.5,6.4,4.4,5.4,0,"",,0,94.6,"Overcast","Cloudy skies throughout the day.","Warsaw","Poland",15,"Warsaw, Poland",0.6,0.4,0.199999999999999
"London, England, United Kingdom",51.506,-0.127,"1980-12-25",10.7,2.7,7.1,10.7,-1.3,3.9,0,"",,,51.9,"Partially cloudy","Clearing in the afternoon.","London","United Kingdom",4,"London, United Kingdom",3.6,4.4,0.8
"Нұр-Сұлтан, Қазақстан",51.128,71.428,"1980-12-25",-14.9,-18.9,-16.8,-17.9,-24.5,-22.2,0,"",,22,100,"Overcast","Cloudy skies throughout the day.","Astana","Kazakhstan",29,"Astana, Kazakhstan",1.9,2.1,0.199999999999998
"Calgary, AB, Canada",51.045,-114.063,"1980-12-25",-7.2,-14.9,-10.8,-11.1,-23.7,-16.6,0,"",,,90,"Partially cloudy","Partly cloudy throughout the day.","Calgary","Canada",52,"Calgary, Canada",3.6,4.1,0.499999999999999
"Brussels, Belgium",50.844,4.356,"1980-12-25",10,4.9,8.4,10,1,4.8,0.129,"rain",,,71.2,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Brussels","Belgium",16,"Brussels, Belgium",1.6,3.5,1.9
"Київ, Україна",50.451,30.524,"1980-12-25",5.9,1.1,2.9,2.1,-3.9,-1.5,0,"",,0,95.5,"Overcast","Cloudy skies throughout the day.","Kyiv","Ukraine",9,"Kyiv, Ukraine",3,1.8,1.2
"Praha, Hlavní město Praha, Česko",50.079,14.433,"1980-12-25",8.7,6.1,7.5,5.6,1.8,3.9,0,"",,0,95.3,"Overcast","Cloudy skies throughout the day.","Prague","Czechia",23,"Prague, Czechia",1.2,1.4,0.200000000000001
"Winnipeg, MB, Canada",49.9,-97.141,"1980-12-25",-15.5,-27,-21.5,-15.5,-40.2,-30.6,,"",,11,79.2,"Partially cloudy","Partly cloudy throughout the day.","Winnipeg","Canada",55,"Winnipeg, Canada",6,5.5,0.5
"Luxembourg, Luxembourg",49.61,6.13,"1980-12-25",8,4,6.7,4.9,-0.1,3.1,0,"",,,92.3,"Overcast","Cloudy skies throughout the day.","Luxembourg","Luxembourg",48,"Luxembourg, Luxembourg",1.3,2.7,1.4
"Vancouver, BC, Canada",49.26,-123.113,"1980-12-25",13.1,8,10.4,13.1,5,9.6,18.346,"rain",,0,97.2,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Vancouver","Canada",56,"Vancouver, Canada",2.7,2.4,0.299999999999999
"Paris, Île-de-France, France",48.857,2.341,"1980-12-25",10.1,3.6,8.2,10.1,0.2,5.6,0.236,"rain",,0,70.2,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Paris","France",5,"Paris, France",1.9,4.6,2.7
"Wien, Österreich",48.203,16.368,"1980-12-25",11.9,3.8,7.7,11.9,2.8,6.9,0,"",,0,41.4,"Partially cloudy","Partly cloudy throughout the day.","Vienna","Austria",13,"Vienna, Austria",4.2,3.9,0.3
"Bratislava, Bratislavský kraj, Slovenská Republika",48.149,17.107,"1980-12-25",11.1,1.2,6.6,11.1,1.2,5.9,0,"",,0,43.8,"Partially cloudy","Partly cloudy throughout the day.","Bratislava","Slovakia",39,"Bratislava, Slovakia",4.5,5.4,0.9
"Ulaanbaatar, Mongolia",47.922,106.918,"1980-12-25",-22.9,-29,-25.5,-22.9,-38.3,-27.5,0,"",,5,35,"Partially cloudy","Partly cloudy throughout the day.","Ulaanbaatar","Mongolia",20,"Ulaanbaatar, Mongolia",2.6,3.5,0.899999999999999
"Seattle, WA, United States",47.604,-122.329,"1980-12-25",16.5,11.1,15,16.5,11.1,15,3.564,"rain",,0,99.5,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Seattle (WA)","USA",63,"Seattle (WA), USA",1.5,3.9,2.4
"Budapest, Magyarország",47.5,19.055,"1980-12-25",8.2,2.1,5.1,7.4,-1.8,3.6,0,"",,0,63.2,"Partially cloudy","Partly cloudy throughout the day.","Budapest","Hungary",8,"Budapest, Hungary",3.1,3,0.1
"Chișinău, Moldova",47.025,28.832,"1980-12-25",6,2,3.9,3.1,-1,0.7,0,"",,0,57.9,"Partially cloudy","Partly cloudy throughout the day.","Chisinau","Moldova",37,"Chisinau, Moldova",2.1,1.9,0.2
"Bern, BE, Schweiz",46.948,7.44,"1980-12-25",7.1,-1.2,3.6,7.1,-1.8,2.4,0,"",,9.9,69.8,"Partially cloudy","Partly cloudy throughout the day.","Bern","Switzerland",46,"Bern, Switzerland",3.5,4.8,1.3
"Ljubljana, Slovenija",46.051,14.503,"1980-12-25",0.2,-6.7,-4.3,0.2,-6.7,-4.3,0,"",,15,42.5,"Partially cloudy","Partly cloudy throughout the day.","Ljubljana","Slovenia",43,"Ljubljana, Slovenia",4.5,2.4,2.1
"Zagreb, Hrvatska",45.807,15.968,"1980-12-25",0.3,-2.9,-1.7,0.3,-3.6,-1.9,,"",,2.8,2.3,"Clear","Clear conditions throughout the day.","Zagreb","Croatia",35,"Zagreb, Croatia",2,1.2,0.8
"Montréal, QC, Canada",45.512,-73.555,"1980-12-25",-23.4,-30.4,-27.8,-34.8,-45.2,-40.7,5,"snow",,20.1,28.8,"Snow, Partially cloudy","Partly cloudy throughout the day with early morning snow.","Montréal","Canada",51,"Montréal, Canada",4.4,2.6,1.8
"Portland, OR, United States",45.512,-122.676,"1980-12-25",17.8,15.6,16.4,17.8,15.6,16.4,44.254,"rain",,,98.4,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Portland (OR)","USA",69,"Portland (OR), USA",1.4,0.799999999999999,0.600000000000003
"Ottawa, ON, Canada",45.422,-75.691,"1980-12-25",-24.9,-30.9,-28.1,-31.3,-44.8,-38.4,0,"",,,3.9,"Clear","Clear conditions throughout the day.","Ottawa","Canada",54,"Ottawa, Canada",3.2,2.8,0.400000000000006
"Београд, Централна Србија, Србија",44.813,20.463,"1980-12-25",5.3,0.1,2.7,4.1,-2.4,1,0,"",,0,29.7,"Partially cloudy","Partly cloudy throughout the day.","Belgrade","Serbia",21,"Belgrade, Serbia",2.6,2.6,4.44089209850063e-16
"București, România",44.434,26.103,"1980-12-25",5.3,-1.9,1.1,5.1,-3.3,0,0.068,"rain",,0,42.2,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Bucharest","Romania",14,"Bucharest, Romania",4.2,3,1.2
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",43.859,18.436,"1980-12-25",0.3,-1.3,-0.5,-1.5,-5,-3.3,,"",,22.5,13.2,"Clear","Clear conditions throughout the day.","Sarajevo","Bosnia and Herzegovina",42,"Sarajevo, Bosnia and Herzegovina",0.8,0.8,0
"Toronto, ON, Canada",43.649,-79.385,"1980-12-25",-10.3,-24.9,-16.7,-17.3,-35.6,-25.5,3.005,"snow",,13.5,62.1,"Snow, Partially cloudy","Partly cloudy throughout the day with snow clearing later.","Toronto","Canada",50,"Toronto, Canada",6.4,8.2,1.8
"Bishkek, Kyrgyzstan",42.884,74.603,"1980-12-25",5.1,-4.9,-0.1,4.1,-8.2,-1.7,0,"",,0,68.5,"Partially cloudy","Partly cloudy throughout the day.","Bishkek","Kyrgyzstan",27,"Bishkek, Kyrgyzstan",5.2,4.8,0.399999999999999
"София, България",42.697,23.324,"1980-12-25",6.1,-0.2,2.6,6.1,-3.5,0.8,0,"",,22.6,54.7,"Partially cloudy","Clearing in the afternoon.","Sofia","Bulgaria",18,"Sofia, Bulgaria",3.5,2.8,0.699999999999999
"Prishtinë, Kosovë",42.672,21.162,"1980-12-25",4.6,0.1,1.8,4.6,0.1,1.8,0,"",,9,35.3,"Partially cloudy","Clearing in the afternoon.","Pristina","Kosovo",44,"Pristina, Kosovo",2.8,1.7,1.1
"Podgorica, Crna Gora",42.435,19.264,"1980-12-25",14.1,3.1,7.2,14.1,1.1,6.6,0,"",,17.3,23.1,"Partially cloudy","Partly cloudy throughout the day.","Podgorica","Montenegro",45,"Podgorica, Montenegro",6.9,4.1,2.8
"Boston, MA, United States",42.359,-71.057,"1980-12-25",1.7,-21.6,-16.4,-2.6,-33.5,-26.8,0,"",,2,18.3,"Clear","Clear conditions throughout the day.","Boston (MA)","USA",68,"Boston (MA), USA",18.1,5.2,12.9
"Detroit, MI, United States",42.332,-83.048,"1980-12-25",-9.1,-17.5,-13.4,-16,-25.2,-20.7,0,"",,5,29.7,"Partially cloudy","Partly cloudy throughout the day.","Detroit (MI)","USA",71,"Detroit (MI), USA",4.3,4.1,0.200000000000001
"Скопје, Северна Македонија",41.995,21.43,"1980-12-25",10.1,-0.9,4.1,10.1,-0.9,3.9,0,"",,6.7,39.2,"Partially cloudy","Partly cloudy throughout the day.","Skopje","Macedonia",38,"Skopje, Macedonia",6,5,1
"Chicago, IL, United States",41.884,-87.632,"1980-12-25",-9,-20.4,-14.5,-12.6,-29,-21.8,0,"",,5,44.4,"Partially cloudy","Becoming cloudy in the afternoon.","Chicago (IL)","USA",58,"Chicago (IL), USA",5.5,5.9,0.399999999999999
"თბილისი, Georgia",41.709,44.796,"1980-12-25",11.9,1.4,6.3,11.9,-1.5,2.6,0.032,"rain",,0,54,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Tbilisi","Georgia",26,"Tbilisi, Georgia",5.6,4.9,0.7
"Toshkent, O'zbekiston",41.326,69.241,"1980-12-25",8,0,3.4,6.9,-0.1,2.9,0,"",,0,61.2,"Partially cloudy","Partly cloudy throughout the day.","Tashkent","Uzbekistan",11,"Tashkent, Uzbekistan",4.6,3.4,1.2
"Tiranë, Shqipëria",41.322,19.825,"1980-12-25",14.5,2.2,6.7,14.5,2.2,6.7,0,"",,38,14.5,"Clear","Clear conditions throughout the day.","Tirana","Albania",41,"Tirana, Albania",7.8,4.5,3.3
"New York, NY, United States",40.715,-74.007,"1980-12-25",-7.3,-17.9,-14.7,-18,-31.9,-26.4,0,"",,2,16.9,"Clear","Clear conditions throughout the day.","New York (NY)","USA",57,"New York (NY), USA",7.4,3.2,4.2
"Երևան, Հայաստան",40.179,44.513,"1980-12-25",9.8,1,4,9.8,-5.6,3.2,,"",,0,59.5,"Partially cloudy","Partly cloudy throughout the day.","Yerevan","Armenia",28,"Yerevan, Armenia",5.8,3,2.8
"Columbus, OH, United States",39.962,-83.003,"1980-12-25",-9.3,-19.6,-13.9,-14.9,-22.8,-18.7,0,"",,7,21.8,"Partially cloudy","Partly cloudy throughout the day.","Columbus (OH)","USA",60,"Columbus (OH), USA",4.6,5.7,1.1
"Philadelphia, PA, United States",39.952,-75.162,"1980-12-25",-4.5,-16.8,-13.6,-12.4,-28,-22.2,0,"",,0,11.5,"Clear","Clear conditions throughout the day.","Philadelphia (PA)","USA",59,"Philadelphia (PA), USA",9.1,3.2,5.9
"Ankara, Türkiye",39.921,32.854,"1980-12-25",9.6,-2.9,2.3,7.2,-2.9,0.9,0,"",,,17.6,"Clear","Clear conditions throughout the day.","Ankara","Turkey",6,"Ankara, Turkey",7.3,5.2,2.1
"中国北京",39.907,116.388,"1980-12-25",-3.9,-11.2,-5.9,-11,-18.9,-13.4,0,"",,,5,"Clear","Clear conditions throughout the day.","Beijing","China",2,"Beijing, China",2,5.3,3.3
"Indianapolis, IN, United States",39.767,-86.15,"1980-12-25",-9.9,-19.4,-14.2,-11.1,-24.3,-18.4,0,"",,2,62.1,"Partially cloudy","Partly cloudy throughout the day.","Indianapolis (IN)","USA",62,"Indianapolis (IN), USA",4.3,5.2,0.9
"Denver, CO, United States",39.74,-104.992,"1980-12-25",15.7,-3.8,9.4,15.7,-6.1,8.8,0,"",,,82.1,"Partially cloudy","Partly cloudy throughout the day.","Denver (CO)","USA",64,"Denver (CO), USA",6.3,13.2,6.9
"Pyongyang, North Korea",39.012,125.787,"1980-12-25",-3.2,-9.9,-7.2,-4.9,-10.8,-7.9,0,"",,,56.3,"Partially cloudy","Partly cloudy throughout the day.","Pyongyang","North Korea",10,"Pyongyang, North Korea",4,2.7,1.3
"Washington, DC, United States",38.89,-77.032,"1980-12-25",-2.2,-10.8,-7.7,-10.6,-21.4,-16.2,0,"",,,18.2,"Clear","Clear conditions throughout the day.","Washington (DC)","USA",67,"Washington (DC), USA",5.5,3.1,2.4
"Dushanbe, Tajikistan",38.568,68.772,"1980-12-25",14.6,-0.1,5.7,14.6,-3.3,4.6,0,"",,0,39.8,"Partially cloudy","Partly cloudy throughout the day.","Dushanbe","Tajikistan",33,"Dushanbe, Tajikistan",8.9,5.8,3.1
